[ID], [rad-Winkel], [y=sin(6x-3cos(x))]
    1, 5.8157666577, 0.7176836631
    2, 2.5797913922, -0.7392235982
    3, 5.5730685128, -0.2497021798
    4, 1.4561888695, 0.8576668310
    5, 0.7910161760, 0.4836892199
    6, 1.8966410584, -0.2242727547
    7, 6.0494759824, 0.9242648910
    8, 0.5842733118, 0.8432496358
    9, 5.1505939643, -0.9770806828
   10, 1.7977640364, -0.8933358253
   11, 0.0179776404, -0.2473489983
   12, 5.5910461532, -0.1783382984
   13, 3.1730535242, -0.0456721200
   14, 3.3168746471, -0.7605316424
   15, 3.1820423444, -0.0984916226
   16, 6.1843082852, 0.4232381780
   17, 4.9618287404, -0.6860568095
   18, 0.3056198862, -0.8558864869
   19, 5.6090237935, -0.1052802452
   20, 3.7842932966, -0.0255386028
   21, 2.8045118968, 0.7233819224
   22, 3.3797963884, -0.9330931629
   23, 4.8449740781, -0.3884230131
   24, 4.0719355424, 0.8873423637
   25, 3.2539529059, -0.4913608429
   26, 5.5640796926, -0.2846428993
   27, 1.0966360622, -0.8787054288
   28, 2.0943951024, 0.9974949866
   29, 5.8696995788, 0.8699463439
   30, 5.4022809293, -0.7904862493
   31, 4.0629467222, 0.8719474655
   32, 4.5842982928, 0.3758575532
   33, 2.9393441995, 0.9880785688
   34, 4.6741864946, 0.1143844217
   35, 3.7033939150, -0.3648641996
   36, 0.1078658422, -0.7216780220
   37, 1.1775354438, -0.3593580219
   38, 1.2674236457, 0.4124436513
   39, 2.5887802124, -0.6916139804
   40, 5.2584598064, -0.9891227379
   41, 2.3281044271, -0.3160532380
   42, 5.3123927275, -0.9443151052
   43, 6.0135207017, 0.9795023455
   44, 0.4674186495, 0.1259731876
   45, 3.4067628490, -0.9745202780
   46, 5.0157616615, -0.7980272020
   47, 1.1685466237, -0.4316976350
   48, 2.1033839226, 0.9999793320
   49, 3.4966510508, -0.9734745574
   50, 5.1595827844, -0.9829464611
   51, 0.7640497155, 0.6619480714
   52, 5.9236324999, 0.9681431546
   53, 4.6831753148, 0.0875412632
   54, 4.5753094726, 0.4009239957
   55, 2.0224845409, 0.7694578077
   56, 3.8921591388, 0.4023857936
   57, 1.3393342071, 0.8746034186
   58, 2.5168696509, -0.9674526404
   59, 2.0045069006, 0.6604312352
   60, 3.0561988619, 0.6169701348
   61, 2.9752994802, 0.9248862451
   62, 3.9011479590, 0.4345813829
   63, 0.7370832549, 0.8077877888
   64, 0.8179826366, 0.2809475176
   65, 5.6719455348, 0.1582669014
   66, 0.7280944347, 0.8480833424
   67, 2.3910261684, -0.7393480473
   68, 2.0764174620, 0.9746579822
   69, 4.9977840212, -0.7628830232
   70, 1.1056248824, -0.8388483185
   71, 1.2224795447, 0.0277399417
   72, 4.0359802617, 0.8198390196
   73, 5.7438560963, 0.4556034102
   74, 2.2921491464, -0.0261320128
   75, 4.4135107093, 0.7894573685
   76, 2.8135007169, 0.7652471203
   77, 2.3730485280, -0.6342964123
   78, 0.7101167944, 0.9150972813
   79, 1.8337193171, -0.7063596496
   80, 3.5685616122, -0.8364077632
   81, 6.2022859255, 0.3278169659
   82, 5.5461020523, -0.3528456675
   83, 4.1528349241, 0.9812210719
   84, 0.8719155576, -0.1591374871
   85, 5.5820573330, -0.2142536361
   86, 5.9056548595, 0.9422442860
   87, 4.3146336873, 0.9406302087
   88, 4.7550858762, -0.1277793022
   89, 3.5056398710, -0.9623478708
   90, 2.4809143702, -0.9996987909
   91, 1.6359652731, -0.5533511782
   92, 6.2562188466, 0.0191142267
   93, 4.8180076175, -0.3121399421
   94, 3.0651876820, 0.5718628004
   95, 1.5191106107, 0.4485143417
   96, 2.8404671775, 0.8715020502
   97, 1.5280994309, 0.3748483088
   98, 0.3505639871, -0.6549780695
   99, 0.8359602769, 0.1367972696
  100, 4.4854212708, 0.6340150071
  101, 5.1685716046, -0.9879692684
  102, 3.2988970068, -0.6926761768
  103, 4.5483430121, 0.4744527613
  104, 3.2359752655, -0.3998478273
  105, 2.3820373482, -0.6886950578
  106, 2.8764224582, 0.9646527745
  107, 6.1483530045, 0.5973340553
  108, 3.1550758839, 0.0609282042
  109, 2.0314733611, 0.8169679600
  110, 2.9033889188, 0.9964126806
  111, 2.8494559977, 0.9001318900
  112, 6.1034089035, 0.7762634869
  113, 4.3775554286, 0.8537604133
  114, 1.2134907246, -0.0514720425
  115, 3.2629417260, -0.5349431656
  116, 1.4382112291, 0.9291479817
  117, 3.9101367791, 0.4660753238
  118, 5.1236275037, -0.9545649444
  119, 5.8247554779, 0.7462168766
  120, 4.1348572837, 0.9672785175
  121, 2.7146236949, 0.1680602723
  122, 2.2292274051, 0.4767632570
  123, 3.1460870637, 0.1144054431
  124, 4.4045218892, 0.8064493134
  125, 0.4404521889, -0.0709042179
  126, 1.1955130842, -0.2081811754
  127, 4.2696895864, 0.9801180921
  128, 0.9438261191, -0.6898503753
  129, 0.9797813998, -0.8750230858
  130, 4.4944100910, 0.6124079747
  131, 2.7955230766, 0.6785024399
  132, 3.2719305462, -0.5769493795
  133, 0.8449490971, 0.0631640611
  134, 0.6112397724, 0.9358372121
  135, 1.8247304969, -0.7606708446
  136, 2.5078808308, -0.9827461112
  137, 0.1438211229, -0.8601137983
  138, 1.7348422951, -0.9953391037
  139, 5.2854262670, -0.9711314162
  140, 2.3011379666, -0.1000692929
  141, 2.2202385849, 0.5415710704
  142, 4.4584548102, 0.6961089035
  143, 4.3236225075, 0.9303833409
  144, 1.6629317337, -0.7371397496
  145, 0.9618037595, -0.7914059876
  146, 2.9483330197, 0.9772325362
  147, 1.8786634180, -0.3758464226
  148, 3.7753044764, -0.0633664494
  149, 2.2831603262, 0.0481085889
  150, 5.7168896357, 0.3463981225
  151, 5.6000349734, -0.1419989754
  152, 1.0247255007, -0.9925627915
  153, 5.9326213201, 0.9783357841
  154, 0.6202285926, 0.9580544751
  155, 3.6224945333, -0.6728390344
  156, 3.3528299279, -0.8719385118
  157, 2.4449590895, -0.9529462209
  158, 0.7191056146, 0.8839036392
  159, 2.6606907739, -0.2237662465
  160, 3.7123827351, -0.3278451346
  161, 2.6337243133, -0.4131046566
  162, 4.2966560470, 0.9588194441
  163, 1.6988870144, -0.9134840045
  164, 0.2696646055, -0.9561593059
  165, 4.3685666084, 0.8682527675
  166, 5.2135157055, -0.9999860711
  167, 1.6898981942, -0.8777150098
  168, 1.7618087557, -0.9895294062
  169, 3.6764274544, -0.4733746867
  170, 1.3483230273, 0.9106377791
  171, 0.1528099431, -0.8881990730
  172, 0.9887702200, -0.9094152816
  173, 3.9730585204, 0.6646235472
  174, 1.9505739795, 0.2466434663
  175, 4.9438511001, -0.6446535653
  176, 1.4112447686, 0.9906492046
  177, 5.7258784559, 0.3832352134
  178, 0.0539329211, -0.4524870515
  179, 2.6247354931, -0.4732826093
  180, 3.3438411077, -0.8472306490
  181, 4.0180026213, 0.7802194200
  182, 3.5775504324, -0.8122741994
  183, 0.1977540440, -0.9830812005
  184, 3.5955280728, -0.7600484759
  185, 5.7798113770, 0.5932271546
  186, 1.9325963391, 0.0909563987
  187, 0.9168596586, -0.5095127407
  188, 0.8000049962, 0.4183900572
  189, 4.1887902048, 0.9974949866
  190, 5.8786883990, 0.8904360209
  191, 2.9842883004, 0.9011691877
  192, 0.5483180311, 0.6666466552
  193, 2.6966460546, 0.0382120535
  194, 4.4764324506, 0.6551792204
  195, 1.4921441502, 0.6500318788
  196, 0.0269664605, -0.2997991717
  197, 2.8224895371, 0.8039648963
  198, 3.4517069499, -0.9999865170
  199, 3.4606957700, -0.9987109111
  200, 3.9910361608, 0.7136388562
  201, 0.3595528073, -0.6058596362
  202, 6.2382412063, 0.1247169050
  203, 4.5213765515, 0.5451060043
  204, 5.2764374468, -0.9781020023
  205, 1.0067478604, -0.9622246494
  206, 4.2427231259, 0.9938937778
  207, 5.3663256486, -0.8638784711
  208, 1.9955180804, 0.5995507670
  209, 5.6359902541, 0.0066803979
  210, 4.2247454855, 0.9987215371
  211, 4.4224995295, 0.7718831248
  212, 2.1663056638, 0.8559254123
  213, 3.7663156562, -0.1012977701
  214, 3.8651926782, 0.3019104908
  215, 0.2516869651, -0.9846503468
  216, 5.1056498633, -0.9356011992
  217, 0.8629267375, -0.0852142901
  218, 2.3640597079, -0.5764145729
  219, 6.2831853072, -0.1411200082
  220, 0.5573068513, 0.7158169281
  221, 0.0089888202, -0.1944010089
  222, 5.0067728413, -0.7807419588
