 [ID], [rad-Winkel], [y = sin(6x-3cos(x))]
  345, 0.0000000000, -0.1411200081
  221, 0.0089888202, -0.1944010089
   11, 0.0179776404, -0.2473489983
  196, 0.0269664605, -0.2997991717
  699, 0.0359552807, -0.3515846646
  244, 0.0449441009, -0.4025370821
  178, 0.0539329211, -0.4524870515
  247, 0.0629217413, -0.5012648024
  267, 0.0719105615, -0.5487007680
  634, 0.0808993816, -0.5946262084
  561, 0.0898882018, -0.6388738550
  448, 0.0988770220, -0.6812785694
   36, 0.1078658422, -0.7216780220
  652, 0.1168546624, -0.7599133808
  412, 0.1258434825, -0.7958300115
  376, 0.1348323027, -0.8292781867
  137, 0.1438211229, -0.8601137983
  171, 0.1528099431, -0.8881990730
  342, 0.1617987633, -0.9134032861
  445, 0.1707875835, -0.9356034711
  697, 0.1797764036, -0.9546851205
  446, 0.1887652238, -0.9705428757
  183, 0.1977540440, -0.9830812005
  581, 0.2067428642, -0.9922150358
  532, 0.2157316844, -0.9978704312
  315, 0.2247205045, -0.9999851492
  245, 0.2337093247, -0.9985092386
  258, 0.2426981449, -0.9934055724
  215, 0.2516869651, -0.9846503468
  617, 0.2606757853, -0.9722335369
  164, 0.2696646055, -0.9561593059
  349, 0.2786534256, -0.9364463623
  654, 0.2876422458, -0.9131282637
  394, 0.2966310660, -0.8862536622
   18, 0.3056198862, -0.8558864869
  693, 0.3146087064, -0.8221060634
  424, 0.3235975266, -0.7850071628
  555, 0.3325863467, -0.7446999837
  563, 0.3415751669, -0.7013100548
   98, 0.3505639871, -0.6549780695
  201, 0.3595528073, -0.6058596362
  333, 0.3685416275, -0.5541249536
  270, 0.3775304476, -0.4999584041
  650, 0.3865192678, -0.4435580656
  580, 0.3955080880, -0.3851351439
  274, 0.4044969082, -0.3249133221
  377, 0.4134857284, -0.2631280286
  690, 0.4224745486, -0.2000256275
  302, 0.4314633687, -0.1358625274
  125, 0.4404521889, -0.0709042179
  676, 0.4494410091, -0.0054242291
  263, 0.4584298293, 0.0602969776
   44, 0.4674186495, 0.1259731876
  382, 0.4764074696, 0.1913136706
  305, 0.4853962898, 0.2560244832
  479, 0.4943851100, 0.3198098143
  356, 0.5033739302, 0.3823733886
  660, 0.5123627504, 0.4434199030
  398, 0.5213515706, 0.5026565036
  384, 0.5303403907, 0.5597942839
  430, 0.5393292109, 0.6145498113
  192, 0.5483180311, 0.6666466552
  220, 0.5573068513, 0.7158169281
  278, 0.5662956715, 0.7618028157
  643, 0.5752844916, 0.8043580959
    8, 0.5842733118, 0.8432496358
  402, 0.5932621320, 0.8782588515
  303, 0.6022509522, 0.9091831328
  134, 0.6112397724, 0.9358372121
  154, 0.6202285926, 0.9580544751
  451, 0.6292174127, 0.9756881996
  586, 0.6382062329, 0.9886127172
  241, 0.6471950531, 0.9967244845
  653, 0.6561838733, 0.9999430579
  601, 0.6651726935, 0.9982119629
  353, 0.6741615136, 0.9914994483
  259, 0.6831503338, 0.9797991192
  310, 0.6921391540, 0.9631304421
  322, 0.7011279742, 0.9415391121
   78, 0.7101167944, 0.9150972813
  158, 0.7191056146, 0.8839036392
   66, 0.7280944347, 0.8480833424
   63, 0.7370832549, 0.8077877888
  621, 0.7460720751, 0.7631942375
  433, 0.7550608953, 0.7145052662
   51, 0.7640497155, 0.6619480714
  644, 0.7730385356, 0.6057736081
  576, 0.7820273558, 0.5462555706
    5, 0.7910161760, 0.4836892199
  188, 0.8000049962, 0.4183900572
  499, 0.8089938164, 0.3506923502
   64, 0.8179826366, 0.2809475176
  548, 0.8269714567, 0.2095223775
   99, 0.8359602769, 0.1367972696
  133, 0.8449490971, 0.0631640611
  357, 0.8539379173, -0.0109759612
  217, 0.8629267375, -0.0852142901
   84, 0.8719155576, -0.1591374871
  645, 0.8809043778, -0.2323295427
  419, 0.8898931980, -0.3043742938
  335, 0.8988820182, -0.3748578888
  452, 0.9078708384, -0.4433712819
  187, 0.9168596586, -0.5095127407
  569, 0.9258484787, -0.5728903523
  331, 0.9348372989, -0.6331245116
  128, 0.9438261191, -0.6898503753
  283, 0.9528149393, -0.7427202621
  145, 0.9618037595, -0.7914059876
  467, 0.9707925797, -0.8356011116
  129, 0.9797813998, -0.8750230858
  172, 0.9887702200, -0.9094152816
  257, 0.9977590402, -0.9385488863
  205, 1.0067478604, -0.9622246494
  484, 1.0157366806, -0.9802744674
  152, 1.0247255007, -0.9925627915
  517, 1.0337143209, -0.9989878459
  388, 1.0427031411, -0.9994826469
  396, 1.0516919613, -0.9940158103
  291, 1.0606807815, -0.9825921400
  429, 1.0696696017, -0.9652529889
  519, 1.0786584218, -0.9420763869
  325, 1.0876472420, -0.9131769295
   27, 1.0966360622, -0.8787054288
   70, 1.1056248824, -0.8388483185
  375, 1.1146137026, -0.7938268191
  442, 1.1236025227, -0.7438958649
  326, 1.1325913429, -0.6893427900
  609, 1.1415801631, -0.6304857916
  306, 1.1505689833, -0.5676721650
  493, 1.1595578035, -0.5012763265
   47, 1.1685466237, -0.4316976350
   37, 1.1775354438, -0.3593580219
  488, 1.1865242640, -0.2846994433
  126, 1.1955130842, -0.2081811754
  633, 1.2045019044, -0.1302769630
  114, 1.2134907246, -0.0514720425
   71, 1.2224795447, 0.0277399417
  250, 1.2314683649, 0.1068601067
  468, 1.2404571851, 0.1853875626
  266, 1.2494460053, 0.2628226930
  454, 1.2584348255, 0.3386704503
   38, 1.2674236457, 0.4124436513
  369, 1.2764124658, 0.4836662442
  605, 1.2854012860, 0.5518765313
  401, 1.2943901062, 0.6166303128
  366, 1.3033789264, 0.6775039401
  665, 1.3123677466, 0.7340972485
